parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	final_groups
221	L	-27.6	-33.73	-18.17	Temporal	parahippocampal	none	7Networks_5	17Networks_15	350
222	L	-23.1	-25.45	-24.82	Temporal	entorhinal	none	7Networks_5	17Networks_9	351
223	L	-21.43	-74.63	-10.34	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_5	474
224	L	-31.46	-53.1	-15.8	Temporal	fusiform	Second-Visual	7Networks_3	17Networks_5	475
225	L	-41.58	-60.37	-13.06	Temporal	inferiortemporal	First-Dorsal-Attention	7Networks_3	17Networks_12	184
226	L	-31.29	8.74	-32.44	Temporal	temporalpole	Default	7Networks_5	17Networks_9	144
227	L	-60.23	-18.72	-22.61	Temporal	inferiortemporal	Ventral-Attention-Language	7Networks_7	17Networks_17	614
228	L	-24.54	7.71	-31.8	Temporal	temporalpole	none	7Networks_5	17Networks_9	352
229	L	-32.25	-5.73	-37.89	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	353
230	L	-61.32	-44.27	-12.86	Temporal	inferiortemporal	Frontal-Parietal	7Networks_6	17Networks_13	250
231	L	-42.14	-16.31	-34.79	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	354
232	L	-62.07	-31.07	-14.58	Temporal	inferiortemporal	Frontal-Parietal	7Networks_7	17Networks_13	251
233	L	-49.91	-30.29	-23.22	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	355
234	L	-50.52	-47.68	-18.73	Temporal	inferiortemporal	Cingulo-opercular	7Networks_5	17Networks_9	50
235	L	-29.15	-8.35	-29.78	Temporal	entorhinal	none	7Networks_5	17Networks_9	356
236	L	-30.74	-18.24	-29.83	Temporal	fusiform	none	7Networks_5	17Networks_9	357
237	L	-39.6	-19.33	-23.2	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	358
238	L	-42.7	-38.1	-19.61	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	359
239	L	-40.11	-44.96	-19.26	Temporal	inferiortemporal	Second-Visual	7Networks_3	17Networks_5	476
240	L	-37.01	-30.14	-16.36	Temporal	fusiform	Default	7Networks_5	17Networks_9	145
241	L	-34.9	-27.11	-26.19	Temporal	fusiform	none	7Networks_5	17Networks_9	360
242	L	-32.04	-37.88	-18.13	Temporal	fusiform	none	7Networks_5	17Networks_9	361
243	L	-20.01	-46.45	-11.81	Occipital	fusiform	none	7Networks_1	17Networks_15	362
